%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1598621631606799281,4969,1598621631606390101,xsense,-0.760455148941,0.141822885237,-0.613614101928,-0.158341307268,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0344230334483,1.70703590475,-0.0394760803545,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3028795898,1.2167899842,-2.86307933069,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631607259375,4970,1598621631606925574,xsense,-0.754793056409,0.14053677634,-0.620501347895,-0.159733946776,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036661245562,1.82470712631,0.0120711966125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65763246884,1.07479488257,-2.7217862526,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631653143950,4971,1598621631652788792,xsense,-0.748936378314,0.139429180857,-0.627502986448,-0.160915526793,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0297505708584,1.85345015546,0.0746365574308,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0599161453,1.07737105951,-2.19687369189,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631653336169,4972,1598621631653043674,xsense,-0.742804173509,0.138375727794,-0.634703792246,-0.162003746509,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0260590536143,1.91462450686,0.108322449521,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.44747065131,0.822742844052,-1.6213843478,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631653741224,4973,1598621631653462902,xsense,-0.736934870489,0.137438124217,-0.641453260623,-0.163019854943,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0338404108298,1.80734056532,0.113021801135,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3728614219,0.603253428326,-0.791992568907,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631655842552,4974,1598621631655575443,xsense,-0.731649123743,0.136536432579,-0.647416705194,-0.164009061153,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0372295636599,1.61581935513,0.0798778925284,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01159104818,0.168483448933,-0.36673229173,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631656387134,4975,1598621631656112060,xsense,-0.726628009284,0.135470049146,-0.653001142522,-0.165073043751,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0283484381581,1.53242465166,0.0266565661936,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29814772277,-0.0194718059635,-0.276062466478,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631694088851,4976,1598621631693694445,xsense,-0.721897622367,0.13427191095,-0.658169008372,-0.166278180076,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0335077713687,1.4430688723,-0.0328584228585,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02983876995,0.0553483587347,-0.700903310174,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631696250672,4977,1598621631695762208,xsense,-0.717436832332,0.132925071596,-0.662983125337,-0.167537137594,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0220733852017,1.36191522899,-0.0801143806999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.66121679709,0.360819240369,-0.606421194277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631696530460,4978,1598621631696224502,xsense,-0.712865513754,0.131437524691,-0.66784075437,-0.168925022439,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0246285784982,1.39196162982,-0.113378546054,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.80530232708,0.548152472579,-0.628510058041,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631696969643,4979,1598621631696709986,xsense,-0.708270023176,0.129994185104,-0.672614703607,-0.170424606795,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0493088863673,1.38369812357,-0.123811888671,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50078500571,0.503518750499,-0.653596054722,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
